,response,distributions,probable_topic,topic_probability
0,"['attend', 'webinar', 'start', 'canvas', 'manage', 'start', 'digitallearning', 'paruluniversity', 'stayhome_staysafe']","[(0, 0.111740105), (1, 0.020783337), (2, 0.27446106), (3, 0.06321405), (4, 0.5298015)]",,
1,"['interest', 'teacher', 'secondary', 'school', 'using', 'TWITTER_HANDLE', 'canvas', 'digitallearning', 'virtualschool']","[(0, 0.43832457), (1, 0.13912216), (2, 0.25396872), (3, 0.12798566), (4, 0.04059889)]",,
2,"['digitallearning', 'giving', 'shoutout', 'really', 'great', 'digital', 'learning', 'tool', 'educator', 'utilize', 'student', 'flipgrid', 'canvas', 'nearpod', 'slideshare', 'check', 'great', 'teachertools', 'excuse']","[(0, 0.38903508), (1, 0.0125354435), (2, 0.19179714), (3, 0.116679005), (4, 0.28995338)]",,
3,"['switch', 'remote', 'teaching', 'online', 'combine', 'video', 'conferencing', 'interactive', 'canvas', 'student', 'collaborate', 'connect', 'goboard', 'could', 'answer', 'digitallearning', 'highereducation', 'communitycollege']","[(0, 0.48641357), (1, 0.077582546), (2, 0.23932704), (3, 0.08090767), (4, 0.11576918)]",,
4,"['logan', 'first', 'canvas', 'conference', 'helm', 'TWITTER_HANDLE', 'excite', 'teacher', 'classmate', 'digitallearning', 'makingconnections', 'proud', 'TWITTER_HANDLE', 'wildcat']","[(0, 0.38118735), (1, 0.10058146), (2, 0.28699103), (3, 0.14602919), (4, 0.085211)]",,
5,"['rock', 'digitallearning', 'scene', 'challenge', 'thanks', 'TWITTER_HANDLE', 'canvas', 'keeping', 'TWITTER_HANDLE', 'student', 'active', 'commit', 'engage', 'teacher', 'working', 'although', 'remotely', 'keeplearningdld']","[(0, 0.4837785), (1, 0.16987029), (2, 0.1565723), (3, 0.12185839), (4, 0.06792053)]",,
6,"['connect', 'teacher', 'supporting', 'canvas', 'bump', 'everyone', 'willing', 'teachersareheroes', 'digitallearning', 'tire', 'TWITTER_HANDLE']","[(0, 0.2720239), (1, 0.2987272), (2, 0.22125056), (3, 0.11331948), (4, 0.09467889)]",,
7,"['teaching', 'look', 'atleast', 'ncpublicschools', 'teacherstrong', 'digitallearning', 'different', 'impossible', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'keepingstudentsmindsengaged', 'engage', 'learning', 'digitaltool', 'canvas', 'TWITTER_HANDLE', 'interiordesign']","[(0, 0.15210404), (1, 0.4195048), (2, 0.15809269), (3, 0.20371477), (4, 0.0665837)]",,
8,"['powerschool', 'and/or', 'canvas', 'right', '100,000', 'teacher', 'million', 'student', 'try', 'digitallearning', 'virtualteaching', 'socialdistancing', 'coronavirus', 'covid19', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.38257807), (1, 0.077326156), (2, 0.15116727), (3, 0.27629924), (4, 0.11262931)]",,
9,"['teacher', 'friend', 'administrator', 'friend', 'canvas', 'skype', 'please', 'capable', 'supporting', 'please', 'share', 'message', 'together', 'together', 'covid19', 'digitallearning', 'togetherisbetter']","[(0, 0.5475708), (1, 0.08602361), (2, 0.2501184), (3, 0.041781947), (4, 0.07450525)]",,
