,response,distributions,probable_topic,topic_probability
0,"['super', 'special', 'effects', 'broadcast', 'TWITTER_HANDLE', 'feature', 'space', 'probe', 'space', 'digitallearning', 'togetherinheart', 'astronomy', 'natgeo', 'science', 'spaceprobes', 'universe', 'discovery', 'microsoftteams', 'scienceteacher', 'teacherstrong']","[(0, 0.388428), (2, 0.12868801), (3, 0.40040264), (4, 0.010002113), (6, 0.05085812)]",,
1,"['talented', 'reporting', 'digital', 'learning', 'TWITTER_HANDLE', 'feature', 'space', 'probe', 'space', 'digitallearning', 'togetherinheart', 'astronomy', 'natgeo', 'science', 'spaceprobes', 'universe', 'discovery', 'microsoftteams', 'scienceteacher', 'teacherstrong']","[(0, 0.48646685), (2, 0.13024987), (3, 0.30032843), (4, 0.010467535), (8, 0.049594678)]",,
2,"['costume', 'change', 'reporting', 'digital', 'learning', 'TWITTER_HANDLE', 'feature', 'space', 'probe', 'space', 'digitallearning', 'togetherinheart', 'astronomy', 'natgeo', 'science', 'spaceprobes', 'universe', 'discovery', 'microsoftteams', 'scienceteacher']","[(0, 0.4864697), (2, 0.13025036), (3, 0.30031368), (4, 0.010478969), (8, 0.04959465)]",,
3,"['reporting', 'digital', 'learning', 'TWITTER_HANDLE', 'feature', 'space', 'probe', 'space', 'digitallearning', 'togetherinheart', 'astronomy', 'natgeo', 'science', 'spaceprobes', 'universe', 'discovery', 'microsoftteams', 'scienceteacher', 'teacherstrong']","[(0, 0.4609209), (2, 0.13611066), (3, 0.31621116), (4, 0.010988883), (8, 0.05183957)]",,
4,"['reporting', 'digital', 'learning', 'TWITTER_HANDLE', 'feature', 'space', 'probe', 'space', 'digitallearning', 'togetherinheart', 'astronomy', 'natgeo', 'science', 'spaceprobes', 'universe', 'discovery', 'microsoftteams', 'scienceteacher', 'teacherstrong']","[(0, 0.46092027), (2, 0.13611053), (3, 0.31621513), (4, 0.01098569), (8, 0.051839568)]",,
5,"['reporting', 'digital', 'learning', '\u2066@shmslouisville\u2069', 'feature', 'space', 'probe', 'space', 'digitallearning', 'togetherinheart', 'astronomy', 'natgeo', 'science', 'spaceprobes', 'universe', 'discovery', 'microsoftteams', 'scienceteacher', 'teacherstrong']","[(0, 0.457784), (2, 0.09609712), (3, 0.35979727), (4, 0.010695916), (8, 0.051839434)]",,
6,"['learn', 'install', 'xampp', 'server', 'windows', 'interest', 'tutorial', 'check', 'course', 'webdev', 'microsoft', 'windows', 'edurekasocialuniversity', 'wednesdaywisdom', 'digitallearning']","[(2, 0.17261909), (3, 0.05763199), (4, 0.011892854), (5, 0.6679525), (8, 0.06330673)]",,
7,"['fabulous', 'TWITTER_HANDLE', 'spacescience', 'scienceteacher', 'natgeo', 'togetherinheart', 'poetry', 'microsoftteams', 'seesaw', 'digitallearning', 'space']","[(0, 0.10190837), (1, 0.01160681), (2, 0.21139526), (3, 0.62235254), (4, 0.016527168), (6, 0.012385503), (8, 0.010306865)]",,
8,"['teacher', 'create', 'video', 'class', 'upload', 'video', 'team', 'using', 'youtube', 'sending', 'something', 'microsoft', 'steam', 'block', 'weary', 'using', 'youtube', 'edutwitter', 'microsoftedu', 'digitallearning']","[(2, 0.22155224), (4, 0.052903187), (6, 0.22409812), (7, 0.4809466)]",,
9,"['teacher', 'create', 'video', 'class', 'upload', 'video', 'team', 'using', 'youtube', 'sending', 'something', 'microsoft', 'steam', 'block', 'weary', 'using', 'youtube', 'edutwitter', 'microsoftedu', 'digitallearning']","[(2, 0.22155224), (4, 0.052903194), (6, 0.22409812), (7, 0.4809466)]",,
