,response,distributions,probable_topic,topic_probability
0,"['digital', 'learning', 'replacement', 'actual', 'learning', 'handle', 'coronavirus', 'absolutely', 'appalling', 'borderline', 'child', 'abuse', 'america']","[(0, 0.14497036), (1, 0.09136501), (2, 0.44668916), (3, 0.3169755)]",,
1,"['entlasten', 'mitarbeitende', 'enorme', 'leistungen', 'vollbringen', 'elearning', 'onlinelearning', 'learning', 'covid', 'edtech', 'online', 'onlinecourses', 'digitallearning', 'elearningdevelopment', 'edchat', 'stayhome', 'onlinetraining', 'virtuallearning', 'technology']","[(0, 0.16131511), (1, 0.70645714), (2, 0.05297198), (3, 0.07925574)]",,
2,"['everyone', 'teacher', 'south', 'ysgol', 'gymraeg', '\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f', 'english', 'science', 'curriculum', 'lover', 'inclusion', 'representation', 'digital', 'learning', 'learner', 'voice', 'brand', 'twitter', 'massive', '#edcymruconnect']","[(0, 0.19900498), (1, 0.43851495), (2, 0.1041455), (3, 0.25833455)]",,
3,"['infographic', 'impact', 'poverty', 'brain', 'learning', 'hard', 'highered', 'elearning', 'digitallearning', 'pobreza', 'poverty', 'brain', 'cerebro', 'desarrollo', 'infancia', 'adolescencia', 'teacher', 'onlinelearning']","[(0, 0.017997252), (1, 0.7354817), (2, 0.2135814), (3, 0.032939628)]",,
4,"['agency', 'launch', 'palestinian', 'digital', 'learning', 'platform', 'covid', 'crisis']","[(0, 0.34635007), (1, 0.3556305), (2, 0.1352614), (3, 0.16275805)]",,
5,"['agency', 'launch', 'palestinian', 'digital', 'learning', 'platform', 'covid', 'health', 'crisis']","[(0, 0.41038093), (1, 0.31767887), (2, 0.12376426), (3, 0.14817597)]",,
6,"['digital', 'learning', 'devices', 'among', 'grievance', 'protest', 'university', 'student']","[(0, 0.32907343), (1, 0.012663849), (2, 0.27564046), (3, 0.3826223)]",,
7,"['teachertechsummit', 'teacher', 'digital', 'learning', 'revolution', 'school']","[(0, 0.4067366), (1, 0.015750695), (2, 0.4960795), (3, 0.08143321)]",,
8,"['digital', 'learning', 'regulatory', 'framework', 'support', 'enhance', 'punitive', 'digitaluniversity', 'move', 'higher', 'education', 'africa', 'digitaluniversity']","[(0, 0.21864232), (1, 0.66121197), (2, 0.076332904), (3, 0.043812785)]",,
9,"['dropout', 'student', 'whose', 'parent', 'lockdown', 'could', 'continue', 'education', 'online', 'offline', 'teacher', 'could', 'match', 'digital', 'learning', 'teaching']","[(0, 0.08084311), (1, 0.18265772), (2, 0.5316663), (3, 0.2048329)]",,
10,"['fortunately', 'unfortunately', '........', 'would', 'years', 'master', 'already', 'push', 'bachelor', 'would', 'consider', 'current', 'covid', 'restriction', 'stuff', 'digital', 'learning', 'awful']","[(0, 0.45432562), (1, 0.024844503), (2, 0.3931484), (3, 0.12768151)]",,
11,"['seriously', 'digital', 'learning', 'college', 'student', 'least', 'college', 'student']","[(0, 0.21975228), (1, 0.020828195), (2, 0.6467725), (3, 0.11264697)]",,
12,"['super', 'power', 'disruptive', 'learning', 'communications', 'digitallearning', 'gamification', 'gaming', 'onlinelearning', 'communication', 'edtech', 'university', 'digitaltransformation', 'emergingtechnologies', 'education', 'disruption']","[(0, 0.16604641), (1, 0.46473798), (2, 0.16625376), (3, 0.20296186)]",,
13,"['expert', 'believe', 'digital', 'learning', 'government', 'action', 'critical', 'landmark', 'oxford', 'university', 'press', 'report', 'global', 'education', 'disruption', 'government', 'collaboratively', 'others', 'education']","[(0, 0.1822497), (1, 0.38111675), (2, 0.20555389), (3, 0.23107968)]",,
14,"['assistance', 'learn', 'medico', 'studymaterial', 'institute', 'school', 'highereducation', 'knowledge', 'highschool', 'course', 'learning', 'essayhelp', 'onlinecourse', 'digitallearning', 'online', 'university', 'onlineeducation', 'study', 'engineering', 'nursingassignment', 'studentsofcalicut']","[(0, 0.050434835), (1, 0.18025403), (2, 0.3991388), (3, 0.37017232)]",,
15,"['viscerally', 'offensive', 'teacher', 'work', 'hard', 'reinvent', 'digital', 'learning', 'feasible', 'accused', 'literally', 'talking']","[(0, 0.21984364), (1, 0.020828433), (2, 0.6522112), (3, 0.107116714)]",,
16,"['listening', 'digital', 'learning', 'class', 'another', 'student', 'interrupt', 'teacher', 'teacher', 'something', 'important', 'class', 'teacher', 'pause', 'grade']","[(0, 0.16613822), (1, 0.015747031), (2, 0.73588437), (3, 0.08223032)]",,
17,"['digital', 'learning', 'teacher', 'cheating', 'answer', 'homework']","[(0, 0.26201355), (1, 0.024836702), (2, 0.5854638), (3, 0.12768593)]",,
18,"['struggle', 'operate', 'digital', 'learning', 'tool', 'miss', 'overseas', 'opportunity', 'cambodian', 'student', 'disillusion', 'covid-19', 'pandemic', 'university', 'experience', 'covid19kh']","[(0, 0.21973984), (1, 0.020831633), (2, 0.47506675), (3, 0.28436175)]",,
19,"['college', 'despite', 'pandemic', 'apathy', 'making', 'adivasi', 'student', 'tribalcommunity', 'education', 'schooldropout', 'adivasi', 'digitaldivide', 'digitallearning', 'righttoeducation', 'digitalindia', 'write']","[(0, 0.06981986), (1, 0.40926784), (2, 0.38569012), (3, 0.13522218)]",,
20,"['emergency', 'online', 'learning', 'grade', 'college', 'student', 'digitallearning', 'highered']","[(0, 0.050438087), (1, 0.34539112), (2, 0.35676166), (3, 0.24740909)]",,
21,"['emergency', 'online', 'learning', 'grade', 'college', 'student', 'digitallearning', 'highered']","[(0, 0.050438087), (1, 0.34539968), (2, 0.35675028), (3, 0.24741192)]",,
