,response,distributions,probable_topic,topic_probability
0,"['zoom', 'great', 'student', 'make', 'special', 'connection', 'learning', 'teacher', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'digitallearning', 'workingtogether']","[(1, 0.010320031), (3, 0.7096902), (6, 0.25261673)]",,
1,"['never', 'hear', 'three', 'week', 'pharmacy', 'bizarre', 'teachersofinstagram', 'teacherlife', 'zoommeeting', 'digitallearning']","[(0, 0.931994), (1, 0.013173729), (3, 0.011191825), (5, 0.011282674), (6, 0.018367156)]",,
2,"['screenshots', 'yesterday', 'meeting', 'cms16', 'downeyspanish', 'cmsseahawks', 'spanishteacher', 'digitallearning', 'zoommeeting', 'TWITTER_HANDLE', 'savannah', 'georgia']","[(1, 0.0111253355), (4, 0.94014376), (6, 0.015723819)]",,
3,"['meeting', 'zoom', 'kiddos', 'distancelearning', 'found', 'picture', 'classroom', 'starbooks', 'turn', 'virtual', 'digital', 'background', 'edtech', 'elearning', 'zoomclassroom', 'digitallearning', 'technologyintheclassroom', 'edtechteachers']","[(0, 0.1366276), (5, 0.83062416), (6, 0.010692113)]",,
4,"['meeting', 'zoom', 'kiddos', 'distancelearning', 'found', 'picture', 'classroom', 'starbooks', 'turn', 'virtual', 'digital', 'background', 'edtech', 'elearning', 'zoomclassroom', 'digitallearning', 'technologyintheclassroom', 'edtechteachers']","[(0, 0.13664258), (5, 0.8306091), (6, 0.010692117)]",,
5,"['TWITTER_HANDLE', 'please', 'provide', 'better', 'online', 'resource', 'google', 'classroom/', 'zoom/', 'hangout', 'provide', 'structural', 'teacher', 'sessions', 'couple', 'hours', 'current', 'online', 'helpful', 'ontario', 'digitallearning']","[(2, 0.9646871)]",,
6,"['guess', 'excite', 'morning', 'teacher', 'TWITTER_HANDLE', 'classmate', 'first', 'week', 'zoommeeting', 'digitallearning', 'weareallinthistogether', 'TWITTER_HANDLE']","[(1, 0.011183711), (4, 0.93951964), (6, 0.016271845)]",,
7,"['global', 'trend', 'digital', 'people', 'means', 'zoomuniversity', 'connection', 'digitallearning', 'digitallecture.#workfromhome']","[(0, 0.010625286), (1, 0.9289378), (3, 0.012331745), (5, 0.012447349), (6, 0.020245692)]",,
8,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'course', 'university', 'business', 'businessadministration', 'virtualclassroom', 'digital', 'learning', 'remotelearning', 'zoomclass', 'master', 'masterofscience', 'mscba']","[(1, 0.1667366), (5, 0.15582167), (6, 0.65503323)]",,
9,"['love', 'zoom', 'afternoon', 'hearing', 'teacher', 'toolkits', 'thank', 'tcrwp', 'awesome', 'digital', 'learning', 'session', 'toolkits', 'yesterday', 'kellerliteracy']","[(1, 0.027477369), (5, 0.93599945), (6, 0.012695918)]",,
10,"['moment', 'pride', 'teacher', 'staff', 'monroe', 'primary', 'school', 'rock', 'digital', 'learning', 'daily', 'morning', 'zoom', 'inspire', 'heart', 'warming', 'waiting', 'every', 'morning', 'connect', 'teacher', 'classmate', 'proudlt']","[(0, 0.011819929), (1, 0.016173827), (3, 0.013723549), (4, 0.3651563), (5, 0.5613531), (6, 0.023205578)]",,
11,"['details', 'match', 'jasmine', 'swipe&gt;&gt;&gt;for', 'zoom', 'peak', 'digital', 'mosaic', 'mosaic', 'digital', 'learning', 'fine', '️◾️◽️◼️◻️', 'arttwo', 'artteacherfollowloop', 'mosaic', 'digitalart']","[(0, 0.02158546), (1, 0.029467838), (2, 0.015646571), (3, 0.025056228), (4, 0.015682666), (5, 0.85018253), (6, 0.04237872)]",,
12,"['virtual', 'meeting', 'black', 'student', 'interrupt', 'racist', 'slur', 'meeting', 'young', 'black', 'university', 'texas', 'interrupt', 'visitor', 'log', 'start', 'using', 'racial', 'slur', 'highlight', 'concern', 'security', 'digital', 'learning', 'zoombombed']","[(0, 0.43450087), (1, 0.15205237), (3, 0.14786), (5, 0.22084288), (6, 0.025400907)]",,
13,"['zoom', 'great', 'student', 'make', 'special', 'connection', 'learning', 'teacher', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'digitallearning', 'workingtogether']","[(1, 0.010320028), (3, 0.7098057), (6, 0.25250116)]",,
14,"['never', 'hear', 'three', 'week', 'pharmacy', 'bizarre', 'teachersofinstagram', 'teacherlife', 'zoommeeting', 'digitallearning']","[(0, 0.931994), (1, 0.013173728), (3, 0.01119181), (5, 0.011282674), (6, 0.018367156)]",,
15,"['screenshots', 'yesterday', 'meeting', 'cms16', 'downeyspanish', 'cmsseahawks', 'spanishteacher', 'digitallearning', 'zoommeeting', 'TWITTER_HANDLE', 'savannah', 'georgia']","[(1, 0.011125335), (4, 0.9401437), (6, 0.015723819)]",,
16,"['school', 'close', 'digital', 'learning', 'still', 'going', 'teacher', 'still', 'working', 'zoomclasses', 'TWITTER_HANDLE']","[(0, 0.02158366), (1, 0.029511828), (2, 0.015646521), (3, 0.025047021), (4, 0.01568273), (5, 0.8490174), (6, 0.043510813)]",,
17,"['zoom', 'future', 'teacher', 'discuss', 'digital', 'learning', 'plan', 'catching', 'sharing', 'tiktok', 'move', 'love', 'could', 'finally', 'connect', 'alieflearns', 'newnormal', 'aliefstrong', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.013326159), (1, 0.01821018), (3, 0.015465071), (5, 0.62041056), (6, 0.3132449)]",,
18,"['meeting', 'zoom', 'kiddos', 'distancelearning', 'found', 'picture', 'classroom', 'starbooks', 'turn', 'virtual', 'digital', 'background', 'edtech', 'elearning', 'zoomclassroom', 'digitallearning', 'technologyintheclassroom', 'edtechteachers']","[(0, 0.13663563), (5, 0.83061606), (6, 0.010692114)]",,
19,"['meeting', 'zoom', 'kiddos', 'distancelearning', 'found', 'picture', 'classroom', 'starbooks', 'turn', 'virtual', 'digital', 'background', 'edtech', 'elearning', 'zoomclassroom', 'digitallearning', 'technologyintheclassroom', 'edtechteachers']","[(0, 0.13664956), (5, 0.83060217), (6, 0.010692115)]",,
20,"['teacher', 'across', 'getting', 'lesson', 'zoombombing’|', 'classroom', 'management', 'digital', 'learning', 'moment-', 'handling', 'zoombombers', 'teachered', 'program']","[(0, 0.021584045), (1, 0.029511752), (2, 0.015646495), (3, 0.025057275), (4, 0.01568267), (5, 0.84996355), (6, 0.042554203)]",,
